CRF,FileSize,Bitrate,Speed
0,2456.35,34546.32,13.4
1,2300.28,32351.27,9.74
2,2224.48,31285.24,11.9
3,2127.90,29926.90,11.7
4,2010.37,28273.92,11.9
5,1880.93,26453.50,11.9
6,1751.14,24628.19,11.9
7,1616.40,22733.12,12.4
8,1486.52,20906.57,12.7
9,1359.24,19116.44,12.6
10,1235.01,17369.24,13.1
11,1120.40,15757.39,13.3
12,1013.54,14254.52,13.7
13,912.14,12828.37,13.5
14,819.10,11519.91,14
15,735.84,10348.96,14.6
16,662.19,9313.09,14.4
17,597.27,8400.15,15.1
18,538.52,7573.81,14.8
19,484.65,6816.23,15.3
20,436.61,6140.52,15.6
21,392.87,5525.34,15.9
22,352.75,4961.21,16.6
23,316.36,4449.38,16.8
24,283.34,3984.99,16.6
25,252.75,3554.74,17.1
26,225.22,3167.63,17.5
27,200.07,2813.81,17.1
28,177.56,2497.27,16.3
29,157.68,2217.72,16.6
30,139.82,1966.44,18.8
31,123.74,1740.34,17.6
32,109.45,1539.31,17.9
33,96.41,1355.97,19.7
34,84.99,1195.31,19.2
35,74.83,1052.49,17.7
36,65.50,921.24,18.8
37,57.19,804.34,19
38,49.64,698.22,19.7
39,42.65,599.89,19.8
40,36.84,518.22,20
41,31.89,448.51,18.6
42,27.53,387.25,20.2
43,24.14,339.64,21.6
44,21.31,299.82,20.8
45,18.94,266.42,19
46,17.08,240.34,20.3
47,15.55,218.74,20.5
48,14.27,200.83,19.6
49,13.27,186.63,20
50,12.45,175.20,19.4
51,11.67,164.22,19.1
